ETFS,RSquared,MSE,AIC
XLB,0.05840541782799258,0.0012150578529982828,-232.64869689185036
XLC,0.053408614115311726,0.00030718258571045147,-324.835720786804
XLE,0.04305297400612773,0.0014230485522543357,-198.14915342365578
XLF,0.14638373168405483,0.0030345096969400837,-239.96805054689742
XLI,0.07810040241779126,0.0014263355483239784,-243.55008176623085
XLK,0.17786354198961363,0.003534793462406865,-245.71044839430112
XLP,0.0806602671651,0.0008722748487072675,-281.479019064917
XLRE,0.10922368351381861,0.0010931892479837896,-289.32443798241104
XLU,0.15262669205917034,0.0020729649076239626,-270.9405729296052
XLV,0.12398293192190357,0.001889509955150161,-260.25340040009337
XLY,0.09348580277481178,0.0016130441415203093,-248.85140143314322
